tiempo,tratamiento,abs
0,crecimiento,0.032
0,crecimiento,0.0281
0,crecimiento,0.0323
0,crecimiento,0.0309
0,crecimiento,0.0281
0,crecimiento,0.0196
0,crecimiento,0.0288
0,calothrix1,0.0369
0,calothrix1,0.0342
0,calothrix1,0.0343
0,calothrix1,0.0368
0,calothrix1,0.0329
0,calothrix1,0.0365
0,calothrix1,0.0353
0,calothrix1/2,0.0307
0,calothrix1/2,0.0375
0,calothrix1/2,0.0383
0,calothrix1/2,0.0385
0,calothrix1/2,0.0331
0,calothrix1/2,0.0317
0,calothrix1/2,0.0379
0,calothrix1/4,0.0337
0,calothrix1/4,0.035
0,calothrix1/4,0.0332
0,calothrix1/4,0.0384
0,calothrix1/4,0.0369
0,calothrix1/4,0.0347
0,calothrix1/4,0.0393
0,calothrix1/8,0.0299
0,calothrix1/8,0.0362
0,calothrix1/8,0.0367
0,calothrix1/8,0.035
0,calothrix1/8,0.0343
0,calothrix1/8,0.0359
0,calothrix1/8,0.0378
0,calothrix1/16,0.0318
0,calothrix1/16,0.0392
0,calothrix1/16,0.0361
0,calothrix1/16,0.0347
0,calothrix1/16,0.0332
0,calothrix1/16,0.0385
0,calothrix1/16,0.0307
0,antibiotico,0.0359
0,antibiotico,0.033
0,antibiotico,0.0331
0,antibiotico,0.032
0,antibiotico,0.0346
0,antibiotico,0.0311
0,antibiotico,0.0361
1,crecimiento,0.0315
1,crecimiento,0.03
1,crecimiento,0.0321
1,crecimiento,0.0316
1,crecimiento,0.0287
1,crecimiento,0.0215
1,crecimiento,0.0295
1,calothrix1,0.039
1,calothrix1,0.0336
1,calothrix1,0.0348
1,calothrix1,0.0365
1,calothrix1,0.0346
1,calothrix1,0.0362
1,calothrix1,0.0349
1,calothrix1/2,0.0296
1,calothrix1/2,0.0366
1,calothrix1/2,0.0381
1,calothrix1/2,0.0351
1,calothrix1/2,0.0321
1,calothrix1/2,0.0317
1,calothrix1/2,0.0375
1,calothrix1/4,0.0302
1,calothrix1/4,0.037
1,calothrix1/4,0.0334
1,calothrix1/4,0.0356
1,calothrix1/4,0.0359
1,calothrix1/4,0.0334
1,calothrix1/4,0.0381
1,calothrix1/8,0.0313
1,calothrix1/8,0.0351
1,calothrix1/8,0.0355
1,calothrix1/8,0.0354
1,calothrix1/8,0.0346
1,calothrix1/8,0.036
1,calothrix1/8,0.037
1,calothrix1/16,0.0329
1,calothrix1/16,0.0387
1,calothrix1/16,0.0368
1,calothrix1/16,0.035
1,calothrix1/16,0.0335
1,calothrix1/16,0.0336
1,calothrix1/16,0.0284
1,antibiotico,0.035
1,antibiotico,0.0331
1,antibiotico,0.0349
1,antibiotico,0.0336
1,antibiotico,0.0337
1,antibiotico,0.0296
1,antibiotico,0.0347
2,crecimiento,0.0295
2,crecimiento,0.0289
2,crecimiento,0.03
2,crecimiento,0.0292
2,crecimiento,0.0273
2,crecimiento,0.0203
2,crecimiento,0.0302
2,calothrix1,0.0327
2,calothrix1,0.0293
2,calothrix1,0.0366
2,calothrix1,0.0373
2,calothrix1,0.0351
2,calothrix1,0.0352
2,calothrix1,0.0359
2,calothrix1/2,0.0257
2,calothrix1/2,0.0346
2,calothrix1/2,0.0336
2,calothrix1/2,0.0341
2,calothrix1/2,0.0328
2,calothrix1/2,0.0304
2,calothrix1/2,0.0388
2,calothrix1/4,0.0273
2,calothrix1/4,0.0327
2,calothrix1/4,0.0294
2,calothrix1/4,0.036
2,calothrix1/4,0.0369
2,calothrix1/4,0.0329
2,calothrix1/4,0.038
2,calothrix1/8,0.0269
2,calothrix1/8,0.03
2,calothrix1/8,0.0323
2,calothrix1/8,0.0346
2,calothrix1/8,0.0318
2,calothrix1/8,0.0353
2,calothrix1/8,0.0348
2,calothrix1/16,0.025
2,calothrix1/16,0.0351
2,calothrix1/16,0.0325
2,calothrix1/16,0.0354
2,calothrix1/16,0.0338
2,calothrix1/16,0.0337
2,calothrix1/16,0.0261
2,antibiotico,0.0303
2,antibiotico,0.0287
2,antibiotico,0.0306
2,antibiotico,0.0305
2,antibiotico,0.0306
2,antibiotico,0.0273
2,antibiotico,0.0286
3,crecimiento,0.0294
3,crecimiento,0.0288
3,crecimiento,0.0293
3,crecimiento,0.028
3,crecimiento,0.027
3,crecimiento,0.0195
3,crecimiento,0.0331
3,calothrix1,0.029
3,calothrix1,0.0264
3,calothrix1,0.035
3,calothrix1,0.0382
3,calothrix1,0.0342
3,calothrix1,0.0351
3,calothrix1,0.0376
3,calothrix1/2,0.025
3,calothrix1/2,0.0315
3,calothrix1/2,0.0328
3,calothrix1/2,0.0341
3,calothrix1/2,0.0331
3,calothrix1/2,0.031
3,calothrix1/2,0.0391
3,calothrix1/4,0.0236
3,calothrix1/4,0.0294
3,calothrix1/4,0.0264
3,calothrix1/4,0.0332
3,calothrix1/4,0.0371
3,calothrix1/4,0.0329
3,calothrix1/4,0.0384
3,calothrix1/8,0.0251
3,calothrix1/8,0.0278
3,calothrix1/8,0.03
3,calothrix1/8,0.0338
3,calothrix1/8,0.0322
3,calothrix1/8,0.0344
3,calothrix1/8,0.0343
3,calothrix1/16,0.0225
3,calothrix1/16,0.033
