Fecha;ID;dia;muestra;medio;luz;peso_biomasa;nitrogeno;glucosa
25-may;4;0;C0;BG11;Blanca;0,0014;0,2;0
25-may;5;0;C0;BG11;Blanca;0,0026;0,2;0
25-may;6;0;C0;BG11;Blanca;0,0032;0,2;0
29-may;10;4;C12;BG11;Blanca;0,0186;0,2;0
29-may;11;4;C1;BG11;Blanca;0,0131;0,2;0
29-may;13;4;C4;BG11;Blanca;0,0145;0,2;0
2-jun;17;8;C14;BG11;Blanca;0,0186;0,2;0
2-jun;18;8;C10;BG11;Blanca;0,02;0,2;0
2-jun;19;8;C8;BG11;Blanca;0,0174;0,2;0
2-jun;44;0;B0-1;BG11-0;Blanca;0,0025;0;0
2-jun;45;0;B0-2;BG11-0;Blanca;0,0001;0;0
2-jun;46;0;B0-3;BG11-0;Blanca;0;0;0
6-jun;23;12;C18;BG11;Blanca;0,023;0,2;0
6-jun;24;12;C5;BG11;Blanca;0,0203;0,2;0
6-jun;25;12;C15;BG11;Blanca;0,0201;0,2;0
6-jun;47;4;B7;BG11-0;Blanca;0,0017;0;0
6-jun;48;4;B8;BG11-0;Blanca;0,002;0;0
6-jun;49;4;B17;BG11-0;Blanca;0,0045;0;0
9-jun;29;16;C17;BG11;Blanca;0,0372;0,2;0
9-jun;30;16;C6;BG11;Blanca;0,0389;0,2;0
9-jun;31;16;C7;BG11;Blanca;0,0296;0,2;0
9-jun;50;8;B14;BG11-0;Blanca;0,0006;0;0
9-jun;51;8;B10;BG11-0;Blanca;0,005;0;0
9-jun;52;8;B6;BG11-0;Blanca;0,0013;0;0
13-jun;86;0;G.1;BG11+G;Blanca;0;0;0,3
13-jun;87;0;G.2;BG11+G;Blanca;0;0;0,3
13-jun;88;0;G.3;BG11+G;Blanca;0;0;0,3
13-jun;35;20;C3;BG11;Blanca;0,0301;0,2;0
13-jun;36;20;C13;BG11;Blanca;0,0417;0,2;0
13-jun;37;20;C16;BG11;Blanca;0,0366;0,2;0
13-jun;53;12;B3;BG11-0;Blanca;0,002;0;0
13-jun;54;12;B2;BG11-0;Blanca;0,0055;0;0
13-jun;55;12;B13;BG11-0;Blanca;0,0003;0;0
16-jun;89;4;G17;BG11+G;Blanca;0,0058;0,2;0,3
16-jun;90;4;G14;BG11+G;Blanca;0,0006;0,2;0,3
16-jun;91;4;G6;BG11+G;Blanca;0,0117;0,2;0,3
16-jun;41;26;C2;BG11;Blanca;0,0495;0,2;0
16-jun;42;26;C9;BG11;Blanca;0,0603;0,2;0
16-jun;43;26;C11;BG11;Blanca;0,0587;0,2;0
16-jun;56;18;B11;BG11-0;Blanca;0,0068;0;0
16-jun;57;18;B12;BG11-0;Blanca;0,0029;0;0
16-jun;58;18;B1;BG11-0;Blanca;0,0052;0;0
20-jun;92;8;G18;BG11+G;Blanca;0,0265;0,2;0,3
20-jun;93;8;G4;BG11+G;Blanca;0,0255;0,2;0,3
20-jun;94;8;G3;BG11+G;Blanca;0,0242;0,2;0,3
20-jun;59;21;B4;BG11-0;Blanca;0,0111;0;0
20-jun;60;21;B5;BG11-0;Blanca;0,0095;0;0
20-jun;61;21;B9;BG11-0;Blanca;0,0067;0;0
22-jun;107;0;E0;BG11-0+G;Blanca;0;0;0,3
22-jun;108;0;E0;BG11-0+G;Blanca;0;0;0,3
22-jun;109;0;E0;BG11-0+G;Blanca;0;0;0,3
26-jun;95;12;G11;BG11+G;Blanca;0,0308;0,2;0,3
26-jun;96;12;G5;BG11+G;Blanca;0,03;0,2;0,3
